key,calls,input_tokens,output_tokens,reasoning_tokens,cache_read,cache_write,cost_usd,planner_model,worker_model
chia-generated-deepseek-2-20260919,1,27206,7938,24062,36864,0,0.0234,opencode-go/deepseek-v4.1-flash,opencode-go/deepseek-v4.1-flash
chia-generated-deepseek-20260919,1,0,0,0,0,0,0.0,opencode-go/deepseek-v4.1-flash,opencode-go/deepseek-v4.1-flash
chia-generated-deepseek-3-20260919,1,23769,2158,0,0,0,0.0049,opencode-go/deepseek-v4.1-flash,opencode-go/deepseek-v4.1-flash
chia-generated-deepseek-constrained-20260919,2,23850,184,0,0,0,0.0037,opencode-go/deepseek-v4.1-flash,opencode-go/deepseek-v4.1-flash
chia-generated-deepseek-constrained2-20260919,2,2214901,110594,0,13251456,0,0.4383,opencode-go/deepseek-v4.1-flash,opencode-go/deepseek-v4.1-flash
chia-generated-deepseek-repair-20260919,2,58924,31024,0,45440,0,0.0276,opencode-go/deepseek-v4.1-flash,opencode-go/deepseek-v4.1-flash
diag-capture-1,2,28935,1956,0,0,0,0.0066,,
merged-e2e-gemini-1,2,29067,11354,0,0,0,0.0,,
merged-e2e-gemini-2,1,92,414,0,0,0,0.0,,
merged-e2e-gemini-3,1,92,387,0,0,0,0.0,,
merged-e2e-gemini-4,1,92,473,0,0,0,0.0,,
merged-e2e-gemini-5,2,31988,24307,0,0,0,0.0329,,
merged-e2e-gemini-6,5,188126,54567,0,0,0,0.1079,,
merged-e2e-gemini-7,2,28906,13869,0,0,0,0.0079,,
msweep-codex-luna-r1,3,66465,6463,7989,7040,0,0.0,,
msweep-free-union-r1,13,563751,418036,0,447855,0,0.0,,
msweep2-impl-claude-r1,17,51,320705,0,0,726826,7.5363,gemini/gemini-3.8-flash,openrouter/anthropic/claude-sonnet-4.6
msweep2-impl-claude-r2,12,36,160177,0,0,500253,4.2787,gemini/gemini-3.8-flash,openrouter/anthropic/claude-sonnet-4.6
msweep2-impl-deepseek-r1,16,695217,297634,0,1809408,0,0.2883,gemini/gemini-3.8-flash,opencode-go/deepseek-v4.1-flash
msweep2-impl-deepseek-r2,16,641452,316703,0,1601920,0,0.291,gemini/gemini-3.8-flash,opencode-go/deepseek-v4.1-flash
msweep2-impl-glm-r1,47,580592,1504000,0,674048,0,0.8593,,
msweep2-impl-glm-r2,22,520231,820312,0,990720,0,0.5179,gemini/gemini-3.8-flash,opencode-go/glm-5.3-flash
msweep2-impl-kimi-r1,14,143143,107388,327479,241056,0,1.5404,gemini/gemini-3.8-flash,openrouter/moonshotai/kimi-k2.7-code
msweep2-impl-kimi-r2,48,750823,351522,1195101,1679408,0,5.7972,,
msweep2-impl-minimax-r1,16,580623,200871,0,1536,0,0.4153,gemini/gemini-3.8-flash,opencode-go/minimax-m3
msweep2-impl-minimax-r2,17,628686,255150,0,112877,0,0.5016,gemini/gemini-3.8-flash,opencode-go/minimax-m3
msweep2-impl-sol-r1,4,120262,28305,8890,0,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-sol
msweep2-impl-sol-r2,6,183653,40027,13023,2048,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-sol
msweep2-impl-terra-r1,16,455391,72675,21656,6144,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-terra
msweep2-impl-terra-r2,21,378826,56986,21917,4608,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-terra
msweep3-c2g-r1,1,3,3207,0,0,24365,0.1395,openrouter/anthropic/claude-sonnet-4.6,gemini/gemini-3.8-flash
msweep3-c2g-r2,2,8,10544,0,25040,41594,0.3217,openrouter/anthropic/claude-sonnet-4.6,gemini/gemini-3.8-flash
msweep3-c2g-r3,1,3,3199,0,0,24365,0.1394,openrouter/anthropic/claude-sonnet-4.6,gemini/gemini-3.8-flash
msweep3-c2g-r4,1,3,3419,0,0,24365,0.1427,openrouter/anthropic/claude-sonnet-4.6,gemini/gemini-3.8-flash
msweep3-c2s-r1,2,21963,8387,3149,2048,24365,0.1399,openrouter/anthropic/claude-sonnet-4.6,openai/gpt-5.6-sol
msweep3-c2s-r2,2,22022,10926,3351,2048,24365,0.1405,openrouter/anthropic/claude-sonnet-4.6,openai/gpt-5.6-sol
msweep3-c2s-r3,2,21909,10498,2819,2048,24365,0.1389,openrouter/anthropic/claude-sonnet-4.6,openai/gpt-5.6-sol
msweep3-c2s-r4,2,23971,10656,2393,0,24365,0.141,openrouter/anthropic/claude-sonnet-4.6,openai/gpt-5.6-sol
msweep3-d2g-r1,1,23391,2775,0,44544,0,0.0053,opencode-go/deepseek-v4.1-flash,gemini/gemini-3.8-flash
msweep3-d2g-r2,2,27842,3343,0,0,0,0.0062,opencode-go/deepseek-v4.1-flash,gemini/gemini-3.8-flash
msweep3-d2g-r3,1,52300,3308,0,47232,0,0.01,opencode-go/deepseek-v4.1-flash,gemini/gemini-3.8-flash
msweep3-d2g-r4,3,145930,9290,0,431104,0,0.0288,opencode-go/deepseek-v4.1-flash,gemini/gemini-3.8-flash
msweep3-d2s-r1,2,64550,11413,2584,89856,0,0.0092,opencode-go/deepseek-v4.1-flash,openai/gpt-5.6-sol
msweep3-d2s-r2,4,90509,19953,3983,22016,0,0.0081,opencode-go/deepseek-v4.1-flash,openai/gpt-5.6-sol
msweep3-d2s-r3,4,79219,16876,4153,2048,0,0.006,opencode-go/deepseek-v4.1-flash,openai/gpt-5.6-sol
msweep3-d2s-r4,2,43061,7964,2956,2048,0,0.0046,opencode-go/deepseek-v4.1-flash,openai/gpt-5.6-sol
msweep3-g2gor-r1,22,0,0,0,0,0,0.0,gemini/gemini-3.8-flash,openrouter/google/gemini-3.8-flash
msweep3-g2gor-r2,22,0,0,0,0,0,0.0,gemini/gemini-3.8-flash,openrouter/google/gemini-3.8-flash
msweep3-g2gor-r3,22,0,0,0,0,0,0.0,gemini/gemini-3.8-flash,openrouter/google/gemini-3.8-flash
msweep3-g2s-r1,1,25274,5802,2871,0,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-sol
msweep3-g2s-r2,22,248244,59235,11346,6144,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-sol
msweep3-g2s-r3,13,23232,5103,2689,2048,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-sol
msweep3-g2s-r4,13,148,6072,2579,25216,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-sol
msweep3-s2g-r1,1,19815,2683,3987,0,0,0.0,openai/gpt-5.6-sol,gemini/gemini-3.8-flash
msweep3-s2g-r2,1,19815,2785,3106,0,0,0.0,openai/gpt-5.6-sol,gemini/gemini-3.8-flash
msweep3-s2g-r3,1,19815,2515,3624,0,0,0.0,openai/gpt-5.6-sol,gemini/gemini-3.8-flash
msweep3-s2g-r4,1,17767,2519,5012,2048,0,0.0,openai/gpt-5.6-sol,gemini/gemini-3.8-flash
msweep3-s2gor-r1,28,110698,15672,22964,8192,0,0.0,openai/gpt-5.6-sol,openrouter/google/gemini-3.8-flash
msweep3-s2gor-r2,28,93034,15973,25664,25856,0,0.0,openai/gpt-5.6-sol,openrouter/google/gemini-3.8-flash
msweep3-s2gor-r3,27,75267,13632,21602,23808,0,0.0,openai/gpt-5.6-sol,openrouter/google/gemini-3.8-flash
msweep3-s2s-r1,2,39375,8785,7893,4096,0,0.0,openai/gpt-5.6-sol,openai/gpt-5.6-sol
msweep3-s2s-r2,2,41289,9819,5236,2048,0,0.0,openai/gpt-5.6-sol,openai/gpt-5.6-sol
msweep3-s2s-r3,2,39231,10599,7077,4096,0,0.0,openai/gpt-5.6-sol,openai/gpt-5.6-sol
msweep3-s2s-r4,2,43494,8773,8344,0,0,0.0,openai/gpt-5.6-sol,openai/gpt-5.6-sol
msweep4-impl-grok-r1,1,78901,8819,28686,128,0,0.3829,gemini/gemini-3.8-flash,opencode-go/grok-4.6
msweep4-impl-grok-r2,1,77514,8815,35346,49664,0,0.4448,gemini/gemini-3.8-flash,opencode-go/grok-4.6
msweep4-impl-luna-r1-routefail,22,0,0,0,0,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-luna
msweep4-impl-luna-r2-routefail,22,0,0,0,0,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-luna
