run_id,planner_model,worker_model,index_status,attempts,seconds,accepted,accept_turn,turns_used,turns_cap,best_level,first_failed_histogram,area_cell_count,area_reduction_pct,holdout_note,history_statuses,candidate_sha256
msweep-adv-astra-r1,openai/gpt-6-astra,gemini/gemini-3.8-flash,done,1,153.3,True,1,1,16,4,{},28832,37.99,36/36 hidden cases passed,"[""accepted""]",f3a8b2d860ba994c04330e5b0bfc42d54bb93094b84af77b6790667a143219e7
msweep-adv-astra-r2,openai/gpt-6-astra,gemini/gemini-3.8-flash,done,1,147.7,True,1,1,16,4,{},28759,38.15,36/36 hidden cases passed,"[""accepted""]",3dd24f838bbec4e5e6732b822bec071285926403db05d8bb0cc498e46bf402f7
msweep-adv-claude-r1,openrouter/anthropic/claude-sonnet-4.6,gemini/gemini-3.8-flash,done,1,371.0,True,2,2,16,4,"{""functional"": 1}",28480,38.75,36/36 hidden cases passed,"[""promoted"", ""accepted""]",ad7f8328f8f13370868c2086feafca318680959f8b41e0396785281622720c54
msweep-adv-claude-r2,openrouter/anthropic/claude-sonnet-4.6,gemini/gemini-3.8-flash,done,1,306.0,True,2,2,16,4,"{""functional"": 1}",28049,39.68,36/36 hidden cases passed,"[""promoted"", ""accepted""]",8a659cc4dd1a84e044e787ac1f7d13e3991d0aff2bc0c51d29859d645f4fd899
msweep-adv-deepseek-r1,opencode-go/deepseek-v4.1-flash,gemini/gemini-3.8-flash,done,1,288.4,True,1,1,16,4,{},29676,36.18,36/36 hidden cases passed,"[""accepted""]",ec0c9353bec2a74127e9460467f153056473c13d392f2068e0f08bb08337febf
msweep-adv-deepseek-r2,opencode-go/deepseek-v4.1-flash,gemini/gemini-3.8-flash,done,1,1656.3,True,4,4,16,4,"{""functional"": 3}",27645,40.54,36/36 hidden cases passed,"[""promoted"", ""rejected"", ""rejected"", ""accepted""]",ec9948a7b7e8bf4f100480d829cedae20070fdd194159aa8d22d5af72cecb18f
msweep-adv-glm-r1,opencode-go/glm-5.3-flash,gemini/gemini-3.8-flash,done,1,654.4,True,2,2,16,4,"{""functional"": 1}",28826,38.0,36/36 hidden cases passed,"[""promoted"", ""accepted""]",151008bf92f276b58d8055462f4f7550ce6b28169e23d1e5680765b2a363dae5
msweep-adv-glm-r2,opencode-go/glm-5.3-flash,gemini/gemini-3.8-flash,done,1,2625.0,False,,16,16,1,"{""functional"": 16}",,,,"[""promoted"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected""]",c45a207299dc6d41a3cf486e6f091aacd8f41740952654c2382e7ae3dcd30a5a
msweep-adv-kimi-r1,opencode-go/kimi-k2.7-code,gemini/gemini-3.8-flash,done,1,723.5,True,2,2,16,4,"{""functional"": 1}",28820,38.02,36/36 hidden cases passed,"[""promoted"", ""accepted""]",bc24601cb6a3c1c3e72d0b4cc7efec9525372976a273acd59dff73261bd529cc
msweep-adv-kimi-r2,opencode-go/kimi-k2.7-code,gemini/gemini-3.8-flash,done,1,528.7,True,1,1,16,4,{},28525,38.65,36/36 hidden cases passed,"[""accepted""]",49a6412dfcbf32d0c958823f739820f536aa610c5d9f213e7bdeca826fc9a432
