key,calls,input_tokens,output_tokens,reasoning_tokens,cache_read,cache_write,cost_usd,planner_model,worker_model
chia-generated-deepseek-2-20260919|opencode-go/deepseek-v4.1-flash,1,27206,7938,0,0,0,0.0234,opencode-go/deepseek-v4.1-flash,opencode-go/deepseek-v4.1-flash
chia-generated-deepseek-20260919|opencode-go/deepseek-v4.1-flash,1,0,0,0,0,0,0.0,opencode-go/deepseek-v4.1-flash,opencode-go/deepseek-v4.1-flash
chia-generated-deepseek-3-20260919|opencode-go/deepseek-v4.1-flash,1,23769,2158,0,0,0,0.0049,opencode-go/deepseek-v4.1-flash,opencode-go/deepseek-v4.1-flash
chia-generated-deepseek-constrained-20260919|opencode-go/deepseek-v4.1-flash,2,23850,184,0,0,0,0.0037,opencode-go/deepseek-v4.1-flash,opencode-go/deepseek-v4.1-flash
chia-generated-deepseek-constrained2-20260919|opencode-go/deepseek-v4.1-flash,2,2214901,110594,0,0,0,0.4383,opencode-go/deepseek-v4.1-flash,opencode-go/deepseek-v4.1-flash
chia-generated-deepseek-repair-20260919|opencode-go/deepseek-v4.1-flash,2,58924,31024,0,0,0,0.0276,opencode-go/deepseek-v4.1-flash,opencode-go/deepseek-v4.1-flash
diag-capture-1|gemini/gemini-3.7-flash,1,28848,1310,0,0,0,0.0,,
diag-capture-1|openrouter/openai/gpt-5.6-sol,1,87,646,0,0,0,0.0066,,
merged-e2e-gemini-1|gemini/gemini-3.7-flash,2,29067,11354,0,0,0,0.0,,
merged-e2e-gemini-2|gemini/gemini-3.7-flash,1,92,414,0,0,0,0.0,,
merged-e2e-gemini-3|gemini/gemini-3.7-flash,1,92,387,0,0,0,0.0,,
merged-e2e-gemini-4|gemini/gemini-3.7-flash,1,92,473,0,0,0,0.0,,
merged-e2e-gemini-5|gemini/gemini-3.7-flash,1,92,423,0,0,0,0.0,,
merged-e2e-gemini-5|opencode/opencode-go/deepseek-v4-flash,1,31896,23884,0,0,0,0.0329,,
merged-e2e-gemini-6|gemini/gemini-3.7-flash,2,92,448,0,0,0,0.0,,
merged-e2e-gemini-6|opencode/opencode-go/deepseek-v4-flash,3,188034,54119,0,0,0,0.1079,,
merged-e2e-gemini-7|gemini/gemini-3.7-flash,1,28819,13096,0,0,0,0.0,,
merged-e2e-gemini-7|openrouter/openai/gpt-5.6-sol,1,87,773,0,0,0,0.0079,,
msweep-codex-luna-r1|openai/gpt-5.6-luna,1,23552,2861,0,0,0,0.0,,
msweep-codex-luna-r1|openai/gpt-5.6-sol,2,42913,3602,0,0,0,0.0,,
msweep-free-union-r1|opencode-go/union-alpha,13,563751,418036,0,0,0,0.0,,
msweep2-impl-claude-r1|openrouter/anthropic/claude-sonnet-4.6,17,51,320705,0,0,0,7.5363,gemini/gemini-3.8-flash,openrouter/anthropic/claude-sonnet-4.6
msweep2-impl-claude-r2|openrouter/anthropic/claude-sonnet-4.6,12,36,160177,0,0,0,4.2787,gemini/gemini-3.8-flash,openrouter/anthropic/claude-sonnet-4.6
msweep2-impl-deepseek-r1|opencode-go/deepseek-v4.1-flash,16,695217,297634,0,0,0,0.2883,gemini/gemini-3.8-flash,opencode-go/deepseek-v4.1-flash
msweep2-impl-deepseek-r2|opencode-go/deepseek-v4.1-flash,16,641452,316703,0,0,0,0.291,gemini/gemini-3.8-flash,opencode-go/deepseek-v4.1-flash
msweep2-impl-glm-r1|opencode-go/glm-5.3-flash,47,580592,1504000,0,0,0,0.8593,,
msweep2-impl-glm-r2|opencode-go/glm-5.3-flash,22,520231,820312,0,0,0,0.5179,gemini/gemini-3.8-flash,opencode-go/glm-5.3-flash
msweep2-impl-kimi-r1|openrouter/moonshotai/kimi-k2.7-code,14,143143,107388,0,0,0,1.5404,gemini/gemini-3.8-flash,openrouter/moonshotai/kimi-k2.7-code
msweep2-impl-kimi-r2|openrouter/moonshotai/kimi-k2.7-code,48,750823,351522,0,0,0,5.7972,,
msweep2-impl-minimax-r1|opencode-go/minimax-m3,16,580623,200871,0,0,0,0.4153,gemini/gemini-3.8-flash,opencode-go/minimax-m3
msweep2-impl-minimax-r2|opencode-go/minimax-m3,17,628686,255150,0,0,0,0.5016,gemini/gemini-3.8-flash,opencode-go/minimax-m3
msweep2-impl-sol-r1|openai/gpt-5.6-sol,4,120262,28305,0,0,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-sol
msweep2-impl-sol-r2|openai/gpt-5.6-sol,6,183653,40027,0,0,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-sol
